State,County,"Male sufficient physical activity prevalence, 2001 (%)","Female sufficient physical activity prevalence, 2001 (%)","Male sufficient physical activity  prevalence, 2009 (%)","Female sufficient physical activity  prevalence, 2009 (%)","Male sufficient physical activity  prevalence, 2011* (%)","Female sufficient physical activity  prevalence, 2011* (%)","Difference in male sufficient physical activity prevalence, 2001-2009 (percentage points)","Difference in female sufficient physical activity prevalence, 2001-2009 (percentage points)",,*Methodological changes in the 2011 BRFSS may affect comparability between the 2011 estimates and estimates from earlier years
United States,,56.8,46.7,57.8,51.3,56.3,52.6,1.0,4.7,,
Alabama,,52.4,40.4,51.5,41.4,49.5,42.0,-0.9,1.0,,
Alabama,Autauga,55.0,43.6,55.1,46.8,52.9,47.5,0.1,3.2,,
Alabama,Baldwin,55.4,48.4,56.6,49.2,54.1,49.6,1.2,0.8,,
Alabama,Barbour,45.7,33.0,46.4,34.6,44.9,35.8,0.7,1.6,,
Alabama,Bibb,44.5,33.6,45.2,36.3,42.7,37.4,0.7,2.7,,
Alabama,Blount,47.1,39.5,44.4,36.3,43.1,37.6,-2.7,-3.2,,
Alabama,Bullock,43.0,29.2,45.0,33.4,43.0,34.5,2.0,4.1,,
Alabama,Butler,47.9,33.8,48.7,36.5,48.0,37.4,0.8,2.7,,
Alabama,Calhoun,51.8,38.5,49.5,39.9,48.7,40.7,-2.3,1.4,,
Alabama,Chambers,46.6,32.1,48.5,34.4,46.9,34.7,1.9,2.3,,
Alabama,Cherokee,41.6,34.6,46.6,40.5,44.8,40.8,5.0,5.9,,
Alabama,Chilton,48.9,35.3,46.1,37.6,43.9,38.2,-2.8,2.4,,
Alabama,Choctaw,44.9,31.8,45.6,32.7,43.6,33.6,0.7,0.9,,
Alabama,Clarke,47.6,37.3,50.1,36.4,48.5,37.4,2.5,-0.9,,
Alabama,Clay,46.0,33.7,46.1,38.3,44.1,39.0,0.1,4.6,,
Alabama,Cleburne,41.9,33.9,47.6,40.7,46.4,41.7,5.7,6.9,,
Alabama,Coffee,51.3,43.5,49.9,45.5,47.8,46.7,-1.4,2.0,,
Alabama,Colbert,49.6,38.7,52.7,41.0,51.2,42.1,3.1,2.3,,
Alabama,Conecuh,46.4,35.6,46.2,32.6,44.5,33.5,-0.2,-3.0,,
Alabama,Coosa,49.0,33.1,48.3,37.5,45.6,38.4,-0.7,4.4,,
Alabama,Covington,49.2,41.6,47.7,39.6,46.0,40.3,-1.6,-2.0,,
Alabama,Crenshaw,42.0,33.8,49.0,42.7,47.7,43.8,7.0,9.0,,
Alabama,Cullman,49.8,40.2,47.1,40.2,44.7,41.8,-2.7,0.1,,
Alabama,Dale,54.7,44.8,55.9,43.7,55.0,44.2,1.2,-1.1,,
Alabama,Dallas,50.2,35.9,46.4,34.5,44.2,35.5,-3.8,-1.4,,
Alabama,DeKalb,43.5,35.3,44.0,39.8,41.9,40.6,0.5,4.5,,
Alabama,Elmore,53.7,41.5,56.2,43.6,54.9,44.6,2.5,2.1,,
Alabama,Escambia,50.0,38.4,48.9,36.4,47.9,37.6,-1.1,-2.0,,
Alabama,Etowah,49.9,39.3,49.8,40.0,48.7,40.9,-0.1,0.7,,
Alabama,Fayette,44.7,35.4,46.0,36.5,44.6,37.6,1.3,1.1,,
Alabama,Franklin,40.1,33.1,46.7,38.0,45.4,38.9,6.6,4.9,,
Alabama,Geneva,45.8,38.5,46.7,44.0,44.6,44.8,0.9,5.5,,
Alabama,Greene,41.7,30.4,45.4,31.7,42.8,32.6,3.7,1.3,,
Alabama,Hale,42.3,31.9,43.4,32.4,41.2,33.4,1.1,0.6,,
Alabama,Henry,47.7,35.0,51.0,41.7,50.3,42.8,3.3,6.7,,
Alabama,Houston,55.0,40.2,51.0,44.4,47.8,44.8,-4.0,4.2,,
Alabama,Jackson,47.6,36.0,45.6,39.3,43.7,39.7,-1.9,3.3,,
Alabama,Jefferson,54.7,42.0,52.1,41.1,49.8,41.9,-2.6,-1.0,,
Alabama,Lamar,44.1,34.1,48.7,37.0,46.4,38.0,4.6,2.9,,
