region,offense,incident_count,offense_count,year
Northeast,aggravated-assault,17832,20735,2013
Northeast,aggravated-assault,20089,23523,2010
Northeast,aggravated-assault,10513,12017,1999
Northeast,aggravated-assault,17789,20370,2019
Northeast,aggravated-assault,172,193,1994
Northeast,aggravated-assault,11788,13834,2002
Northeast,aggravated-assault,18280,21381,2012
Northeast,aggravated-assault,12768,14628,2000
Northeast,aggravated-assault,12010,14141,2001
Northeast,aggravated-assault,18920,22120,2011
Northeast,aggravated-assault,15308,17920,2005
Northeast,aggravated-assault,17660,20356,2014
Northeast,aggravated-assault,18332,21142,2015
Northeast,aggravated-assault,5835,6678,1995
Northeast,aggravated-assault,17507,19871,2018
Northeast,aggravated-assault,13255,15600,2004
Northeast,aggravated-assault,18567,21369,2016
Northeast,aggravated-assault,18970,22368,2008
Northeast,aggravated-assault,19474,22905,2009
Northeast,aggravated-assault,8586,9808,1996
Northeast,aggravated-assault,11543,13575,2003
Northeast,aggravated-assault,15368,17973,2006
Northeast,aggravated-assault,17705,20362,2017
Northeast,aggravated-assault,17013,19979,2007
Northeast,aggravated-assault,11207,12879,1997
Northeast,aggravated-assault,11680,13418,1998
Northeast,all-other-larceny,45,45,1993
Northeast,all-other-larceny,47262,47262,2003
Northeast,all-other-larceny,66304,66304,2006
Northeast,all-other-larceny,23153,23153,1997
Northeast,all-other-larceny,25358,25358,1998
Northeast,all-other-larceny,56934,56934,2017
Northeast,all-other-larceny,71288,71288,2007
Northeast,all-other-larceny,12346,12346,1995
Northeast,all-other-larceny,49487,49487,2018
Northeast,all-other-larceny,68773,68773,2014
Northeast,all-other-larceny,60029,60029,2015
Northeast,all-other-larceny,53149,53149,2004
Northeast,all-other-larceny,80879,80879,2008
Northeast,all-other-larceny,75651,75651,2009
Northeast,all-other-larceny,58559,58559,2016
Northeast,all-other-larceny,18136,18136,1996
Northeast,all-other-larceny,39292,39292,2001
Northeast,all-other-larceny,79128,79128,2011
Northeast,all-other-larceny,63586,63586,2005
Northeast,all-other-larceny,77808,77808,2013
Northeast,all-other-larceny,77449,77449,2010
Northeast,all-other-larceny,29212,29212,1999
Northeast,all-other-larceny,47778,47778,2019
Northeast,all-other-larceny,1524,1524,1994
Northeast,all-other-larceny,39475,39475,2002
Northeast,all-other-larceny,81350,81350,2012
Northeast,all-other-larceny,36283,36283,2000
Northeast,animal-cruelty,481,481,2019
Northeast,animal-cruelty,11,11,2016
Northeast,animal-cruelty,6,6,2015
Northeast,animal-cruelty,360,360,2018
Northeast,animal-cruelty,154,154,2017
Northeast,arson,1064,1064,2014
Northeast,arson,921,921,2015
Northeast,arson,402,402,1995
Northeast,arson,708,708,2018
Northeast,arson,1152,1152,2004
Northeast,arson,991,991,2016
Northeast,arson,1598,1598,2008
Northeast,arson,1519,1519,2009
Northeast,arson,512,512,1996
Northeast,arson,1,1,1993
Northeast,arson,1098,1098,2003
Northeast,arson,1502,1502,2006
Northeast,arson,872,872,2017
Northeast,arson,1536,1536,2007
Northeast,arson,607,607,1997
Northeast,arson,609,609,1998
Northeast,arson,1201,1201,2013
Northeast,arson,1563,1563,2010
Northeast,arson,751,751,1999
Northeast,arson,796,796,2019
Northeast,arson,166,166,1994
Northeast,arson,909,909,2002
Northeast,arson,1432,1432,2012
Northeast,arson,825,825,2000
Northeast,arson,927,927,2001
Northeast,arson,1331,1331,2011
Northeast,arson,1456,1456,2005
Northeast,assisting-or-promoting-prostitution,133,133,2001
Northeast,assisting-or-promoting-prostitution,56,56,2011
Northeast,assisting-or-promoting-prostitution,45,45,2005
Northeast,assisting-or-promoting-prostitution,148,148,2013
Northeast,assisting-or-promoting-prostitution,87,87,2010
Northeast,assisting-or-promoting-prostitution,91,91,1999
Northeast,assisting-or-promoting-prostitution,95,95,2019
Northeast,assisting-or-promoting-prostitution,1,1,1994
Northeast,assisting-or-promoting-prostitution,93,93,2002
Northeast,assisting-or-promoting-prostitution,130,130,2012
Northeast,assisting-or-promoting-prostitution,64,64,2000
Northeast,assisting-or-promoting-prostitution,103,103,2003
Northeast,assisting-or-promoting-prostitution,42,42,2006
Northeast,assisting-or-promoting-prostitution,106,106,2017
Northeast,assisting-or-promoting-prostitution,106,106,2007
Northeast,assisting-or-promoting-prostitution,151,151,1997
Northeast,assisting-or-promoting-prostitution,127,127,1998
Northeast,assisting-or-promoting-prostitution,155,155,2014
Northeast,assisting-or-promoting-prostitution,151,151,2015
Northeast,assisting-or-promoting-prostitution,34,34,1995
Northeast,assisting-or-promoting-prostitution,109,109,2018
Northeast,assisting-or-promoting-prostitution,70,70,2004
Northeast,assisting-or-promoting-prostitution,104,104,2016
Northeast,assisting-or-promoting-prostitution,134,134,2008
Northeast,assisting-or-promoting-prostitution,82,82,2009
Northeast,assisting-or-promoting-prostitution,74,74,1996
Northeast,betting,57,57,2009
Northeast,betting,37,37,2008
Northeast,betting,18,18,2016
Northeast,betting,4,4,1996
Northeast,betting,3,3,2018
Northeast,betting,1,1,1995
Northeast,betting,19,19,2014
Northeast,betting,6,6,2015
Northeast,betting,34,34,2004
Northeast,betting,8,8,2003
Northeast,betting,26,26,2006
Northeast,betting,11,11,1997
Northeast,betting,7,7,1998
Northeast,betting,23,23,2007
Northeast,betting,2,2,2017
Northeast,betting,6,6,2002
Northeast,betting,8,8,2000
Northeast,betting,36,36,2012
Northeast,betting,15,15,2013
Northeast,betting,21,21,2010
Northeast,betting,3,3,1999
Northeast,betting,9,9,2019
Northeast,betting,62,62,2011
Northeast,betting,9,9,2005
Northeast,betting,5,5,2001
Northeast,bribery,12,12,2004
Northeast,bribery,27,27,2018
Northeast,bribery,19,19,2015
Northeast,bribery,18,18,2014
Northeast,bribery,1,1,1996
Northeast,bribery,46,46,2008
Northeast,bribery,34,34,2009
Northeast,bribery,20,20,2016
Northeast,bribery,3,3,1998
Northeast,bribery,1,1,1997
Northeast,bribery,14,14,2017
Northeast,bribery,128,128,2007
Northeast,bribery,121,121,2006
Northeast,bribery,11,11,2003
